id,section,category,english,hiragana,romaji,kanji,notes,politeness,tags,created_at
jp-001,Personal,Conversation Repair,"Sorry, can you say that one more time?",すみません、もういっかいいってもらえますか？,"Sumimasen, mou ikkai itte moraemasu ka?",すみません、もう一回言ってもらえますか？,Polite. Use when you missed what someone said.,Polite,repair; listening,2026-06-23
jp-002,Personal,Conversation Repair,Can you speak slowly?,ゆっくりはなしてもらえますか？,Yukkuri hanashite moraemasu ka?,ゆっくり話してもらえますか？,Very useful if people speak too fast.,Polite,repair; listening,2026-06-23
jp-003,Personal,Conversation Repair,Can you say it in simpler Japanese?,もうすこしかんたんなにほんごでおねがいします。,Mou sukoshi kantan na nihongo de onegaishimasu.,もう少し簡単な日本語でお願いします。,Use when you understand some Japanese but the sentence is too advanced.,Polite,repair,2026-06-23
jp-004,Personal,Conversation Repair,I did not quite understand.,すみません、ちょっとわかりませんでした。,"Sumimasen, chotto wakarimasen deshita.",すみません、ちょっと分かりませんでした。,Soft and natural.,Polite,repair,2026-06-23
jp-005,Personal,Conversation Repair,What does that mean?,それはどういういみですか？,Sore wa dou iu imi desu ka?,それはどういう意味ですか？,Good for unknown words or phrases.,Polite,meaning,2026-06-23
jp-006,Personal,Conversation Repair,How do you say this in Japanese?,これはにほんごでなんていいますか？,Kore wa nihongo de nante iimasu ka?,これは日本語で何て言いますか？,Point at something and use this.,Polite,learning,2026-06-23
jp-007,Personal,Conversation Repair,Is this Japanese correct?,このにほんごはあっていますか？,Kono nihongo wa atteimasu ka?,この日本語は合っていますか？,Use to check a sentence you made.,Polite,learning,2026-06-23
jp-008,Personal,Conversation Repair,Please correct my Japanese.,にほんごをなおしてください。,Nihongo o naoshite kudasai.,日本語を直してください。,Direct but polite enough.,Polite,learning,2026-06-23
jp-009,Personal,Conversation Repair,Japanese is okay. I want to practice.,にほんごでだいじょうぶです。れんしゅうしたいです。,Nihongo de daijoubu desu. Renshuu shitai desu.,日本語で大丈夫です。練習したいです。,Use when someone switches to English.,Polite,learning; confidence,2026-06-23
jp-010,Personal,Conversation Repair,I am still studying Japanese.,まだにほんごをべんきょうちゅうです。,Mada nihongo o benkyou-chuu desu.,まだ日本語を勉強中です。,Natural self-disclaimer.,Polite,intro,2026-06-23
jp-011,Personal,Conversation Repair,"I am not very good yet, but I want to speak Japanese.",まだじょうずじゃないですけど、にほんごではなしたいです。,"Mada jouzu janai desu kedo, nihongo de hanashitai desu.",まだ上手じゃないですけど、日本語で話したいです。,Very useful. Friendly and honest.,Polite,intro; learning,2026-06-23
jp-012,Personal,Conversation Repair,Can I think for a second?,ちょっとかんがえてもいいですか？,Chotto kangaete mo ii desu ka?,ちょっと考えてもいいですか？,Buys time naturally.,Polite,flow,2026-06-23
jp-013,Personal,Conversation Flow,I see.,なるほど。,Naruhodo.,なるほど。,Conversation glue. Use often.,Neutral,flow,2026-06-23
jp-014,Personal,Conversation Flow,That is true.,たしかに。,Tashika ni.,確かに。,Natural agreement.,Neutral,flow,2026-06-23
jp-015,Personal,Conversation Flow,Really?,ほんとうですか？,Hontou desu ka?,本当ですか？,Keeps the conversation alive.,Polite,flow,2026-06-23
jp-016,Personal,Conversation Flow,That is interesting.,おもしろいですね。,Omoshiroi desu ne.,面白いですね。,Useful reaction phrase.,Polite,flow,2026-06-23
jp-017,Personal,Conversation Flow,That sounds good.,いいですね。,Ii desu ne.,いいですね。,Simple positive reaction.,Polite,flow,2026-06-23
jp-018,Personal,Conversation Flow,That sounds difficult.,むずかしそうですね。,Muzukashisou desu ne.,難しそうですね。,Good empathy response.,Polite,flow,2026-06-23
jp-019,Personal,Conversation Flow,By the way...,ちなみに、,"Chinami ni,",ちなみに、,Use to change topic.,Neutral,flow,2026-06-23
